nature,date,heures,consommation,thermique,nucléaire,eolien,solaire,hydraulique,pompage,bioénergies,stockage_batterie,déstockage_batterie,eolien_terrestre,eolien_offshore,ech._physiques,flux_physiques_d'auvergne-rhône-alpes_vers_auvergne-rhône-alpes,flux_physiques_de_bourgogne-franche-comté_vers_auvergne-rhône-alpes,flux_physiques_de_bretagne_vers_auvergne-rhône-alpes,flux_physiques_de_centre-val_de_loire_vers_auvergne-rhône-alpes,flux_physiques_de_grand-est_vers_auvergne-rhône-alpes,flux_physiques_de_hauts-de-france_vers_auvergne-rhône-alpes,flux_physiques_d'ile-de-france_vers_auvergne-rhône-alpes,flux_physiques_de_normandie_vers_auvergne-rhône-alpes,flux_physiques_de_nouvelle-aquitaine_vers_auvergne-rhône-alpes,flux_physiques_d'occitanie_vers_auvergne-rhône-alpes,flux_physiques_de_pays-de-la-loire_vers_auvergne-rhône-alpes,flux_physiques_de_paca_vers_auvergne-rhône-alpes,flux_physiques_de_auvergne-rhône-alpes_vers_auvergne-rhône-alpes,flux_physiques_de_auvergne-rhône-alpes_vers_bourgogne-franche-comté,flux_physiques_de_auvergne-rhône-alpes_vers_bretagne,flux_physiques_de_auvergne-rhône-alpes_vers_centre-val_de_loire,flux_physiques_de_auvergne-rhône-alpes_vers_grand-est,flux_physiques_de_auvergne-rhône-alpes_vers_hauts-de-france,flux_physiques_de_auvergne-rhône-alpes_vers_ile-de-france,flux_physiques_de_auvergne-rhône-alpes_vers_normandie,flux_physiques_de_auvergne-rhône-alpes_vers_nouvelle-aquitaine,flux_physiques_de_auvergne-rhône-alpes_vers_occitanie,flux_physiques_de_auvergne-rhône-alpes_vers_pays-de-la-loire,flux_physiques_de_auvergne-rhône-alpes_vers_paca,flux_physiques_allemagne_vers_auvergne-rhône-alpes,flux_physiques_belgique_vers_auvergne-rhône-alpes,flux_physiques_espagne_vers_auvergne-rhône-alpes,flux_physiques_italie_vers_auvergne-rhône-alpes,flux_physiques_luxembourg_vers_auvergne-rhône-alpes,flux_physiques_royaume-uni_vers_auvergne-rhône-alpes,flux_physiques_suisse_vers_auvergne-rhône-alpes,flux_physiques_de_auvergne-rhône-alpes_vers_allemagne,flux_physiques_de_auvergne-rhône-alpes_vers_belgique,flux_physiques_de_auvergne-rhône-alpes_vers_espagne,flux_physiques_de_auvergne-rhône-alpes_vers_italie,flux_physiques_de_auvergne-rhône-alpes_vers_luxembourg,flux_physiques_de_auvergne-rhône-alpes_vers_royaume-uni,flux_physiques_de_auvergne-rhône-alpes_vers_suisse,tco_thermique_(%),tch_thermique_(%),tco_nucléaire_(%),tch_nucléaire_(%),tco_eolien_(%),tch_eolien_(%),tco_solaire_(%),tch_solaire_(%),tco_hydraulique_(%),tch_hydraulique_(%),tco_bioénergies_(%),tch_bioénergies_(%)
Données définitives,2022-04-01,08:00:00,9351.0,435.0,9845.0,443.0,2.0,5190.0,-3.0,130.0,0.0,0.0,0.0,0.0,-6691.0,,,,,,,,,,,,,,2368.0,,722.0,,,,,229.0,4018.0,,297.0,,,,,,,,,,,57.0,,,440.0,4.65,41.39,105.28,72.55,4.74,61.96,0.02,0.13,55.5,46.17,1.39,59.91
Données définitives,2021-10-19,05:00:00,6380.0,219.0,9980.0,129.0,0.0,1157.0,-1049.0,90.0,0,0,0,0,-4145.0,,2550,,1027,,,,,132,236,,254,,315,,0,,,,,9,3707,,493,,,,0,,,3,,,,2451,,,1373,3.43,20.18,156.43,73.54,2.02,18.09,0.0,0.0,18.13,10.1,1.41,47.37
Données consolidées,2024-02-27,02:30:00,7770.0,325.0,11470.0,79.0,0.0,3359.0,-580.0,112.0,0.0,0.0,0.0,0.0,-6995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.18,32.47,147.62,84.52,1.02,10.66,0.0,0.0,43.23,29.46,1.44,59.26
Données temps réel,2025-10-09,05:00:00,5595.0,22.0,9776.0,122.0,0.0,1484.0,-1269.0,66.0,0,0,,,-4606.0,,1113,,981,,,,,18,305,,233,,-967,,0,,,,,-12,-2109,,-19,,,,0,,,1,,,,-2752,,,-835,0.39,2.24,174.73,72.04,2.18,16.67,0.0,0.0,26.52,12.96,1.18,34.92
Données définitives,2023-04-06,20:30:00,7584.0,397.0,11418.0,51.0,0.0,3159.0,-14.0,121.0,0.0,0.0,0.0,0.0,-7549.0,,,,,,,,,,,,,,1120.0,,424.0,,,,,215.0,5445.0,,373.0,,,,,,,,,,,1838.0,,,204.0,5.23,40.55,150.55,84.14,0.67,7.05,0.0,0.0,41.65,27.7,1.6,63.35
Données définitives,2022-08-09,19:30:00,6487.0,376.0,7812.0,119.0,209.0,2296.0,-13.0,122.0,0.0,0.0,0.0,0.0,-4433.0,,,,,,,,,,,,,,519.0,,261.0,,,,,20.0,4508.0,,557.0,,,,,,,,,,,444.0,,,264.0,5.8,35.24,120.43,57.57,1.83,17.37,3.22,13.29,35.39,20.03,1.88,64.21
Données temps réel,2025-06-14,02:00:00,5086.0,26.0,8888.0,300.0,0.0,3085.0,-170.0,80.0,0,0,,,-7124.0,,920,,806,,,,,110,211,,114,,-1424,,0,,,,,-14,-2442,,-44,,,,0,,,0,,,,-3545,,,-1060,0.51,2.64,174.75,65.5,5.9,40.98,0.0,0.0,60.66,26.95,1.57,39.8
Données définitives,2021-08-27,20:00:00,6113.0,5.0,9071.0,248.0,28.0,3486.0,-13.0,113.0,0,0,0,0,-6825.0,,397,,470,,,,,153,129,,54,,642,,100,,,,,20,5336,,467,,,,0,,,539,,,,1922,,,79,0.08,0.46,148.39,66.85,4.06,36.15,0.46,2.12,57.03,29.54,1.85,60.11
Données définitives,2023-04-28,21:30:00,6473.0,17.0,10858.0,83.0,0.0,4394.0,-13.0,121.0,0.0,0.0,0.0,0.0,-8987.0,,,,,,,,,,,,,,1804.0,,395.0,,,,,155.0,5040.0,,224.0,,,,,,,,,,,2444.0,,,268.0,0.26,1.74,167.74,80.01,1.28,11.48,0.0,0.0,67.88,38.53,1.87,63.35
Données définitives,2023-01-22,15:30:00,9451.0,527.0,13465.0,272.0,117.0,3676.0,-24.0,96.0,0.0,0.0,0.0,0.0,-8679.0,,,,,,,,,,,,,,1214.0,,544.0,,,,,81.0,4948.0,,182.0,,,,,,,,,,,2475.0,,,688.0,5.58,53.83,142.47,99.23,2.88,37.62,1.24,6.42,38.9,32.24,1.02,50.26
Données temps réel,2025-07-08,03:00:00,5881.0,27.0,9175.0,184.0,0.0,1910.0,-328.0,81.0,0,2,,,-5168.0,,1852,,57,,,,,131,126,,96,,-593,,0,,,,,-17,-2297,,-34,,,,0,,,0,,,,-2724,,,-1071,0.46,2.74,156.01,67.61,3.13,25.14,0.0,0.0,32.48,16.68,1.38,40.3
Données définitives,2023-12-14,19:00:00,9666.0,569.0,10601.0,317.0,0.0,6312.0,-12.0,122.0,0.0,0.0,0.0,0.0,-8242.0,,,,,,,,,,,,,,3371.0,,250.0,,,,,191.0,3306.0,,196.0,,,,,,,,,,,2327.0,,,825.0,5.89,56.84,109.67,78.12,3.28,42.78,0.0,0.0,65.3,55.36,1.26,64.55
Données définitives,2022-12-14,10:00:00,10162.0,689.0,11643.0,258.0,70.0,6644.0,-13.0,109.0,0.0,0.0,0.0,0.0,-9236.0,,,,,,,,,,,,,,3451.0,,731.0,,,,,224.0,4512.0,,296.0,,,,,,,,,,,1090.0,,,532.0,6.78,70.38,114.57,85.8,2.54,35.68,0.69,3.84,65.38,58.27,1.07,57.07
Données définitives,2023-09-05,08:30:00,6688.0,7.0,7842.0,209.0,205.0,2250.0,-13.0,121.0,0.0,0.0,0.0,0.0,-3933.0,,,,,,,,,,,,,,110.0,,0.0,,,,,34.0,4795.0,,345.0,,,,,,,,,,,1027.0,,,121.0,0.1,0.7,117.25,57.79,3.13,28.87,3.07,9.68,33.64,19.73,1.81,64.36
Données définitives,2022-09-26,04:30:00,5205.0,54.0,6181.0,72.0,0.0,759.0,-1784.0,114.0,0.0,0.0,0.0,0.0,-191.0,,,,,,,,,,,,,,35.0,,0.0,,,,,28.0,1479.0,,178.0,,,,,,,,,,,1976.0,,,765.0,1.04,5.06,118.75,45.55,1.38,10.51,0.0,0.0,14.58,6.62,2.19,60.0
Données consolidées,2024-08-30,20:30:00,6644.0,373.0,7099.0,27.0,6.0,3358.0,-13.0,134.0,0.0,0.0,0.0,0.0,-4341.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.61,37.26,106.85,52.31,0.41,3.64,0.09,0.27,50.54,29.45,2.02,70.9
Données temps réel,2025-05-20,15:00:00,6336.0,28.0,11225.0,88.0,1282.0,2409.0,-1049.0,56.0,0,0,,,-7706.0,,207,,79,,,,,48,410,,396,,-2180,,-46,,,,,-96,-1612,,-26,,,,0,,,0,,,,-3141,,,-1308,0.44,2.8,177.16,82.72,1.39,11.88,20.23,57.41,38.02,21.13,0.88,29.63
Données définitives,2022-10-05,15:30:00,7014.0,84.0,5089.0,204.0,1024.0,1453.0,-1789.0,95.0,0.0,0.0,0.0,0.0,853.0,,,,,,,,,,,,,,135.0,,10.0,,,,,31.0,944.0,,157.0,,,,,,,,,,,2030.0,,,664.0,1.2,7.87,72.55,37.5,2.91,29.78,14.6,65.1,20.72,12.68,1.35,50.0
Données définitives,2023-05-11,11:00:00,7897.0,387.0,9722.0,139.0,696.0,3845.0,-13.0,112.0,0.0,0.0,0.0,0.0,-6991.0,,,,,,,,,,,,,,3886.0,,278.0,,,,,137.0,2247.0,,71.0,,,,,,,,,,,1695.0,,,406.0,4.9,39.53,123.11,71.64,1.76,19.23,8.81,38.2,48.69,33.72,1.42,58.64
Données consolidées,2024-12-11,11:00:00,10340.0,652.0,12058.0,47.0,411.0,6436.0,-13.0,97.0,0.0,0.0,0.0,0.0,-9347.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.31,65.66,116.62,88.86,0.45,6.42,3.97,13.81,62.24,56.25,0.94,48.26
Données définitives,2023-01-08,16:00:00,6841.0,170.0,11678.0,318.0,45.0,2686.0,-94.0,110.0,0.0,0.0,0.0,0.0,-8075.0,,,,,,,,,,,,,,1386.0,,0.0,,,,,71.0,4084.0,,531.0,,,,,,,,,,,2821.0,,,1960.0,2.49,17.36,170.71,86.06,4.65,43.98,0.66,2.47,39.26,23.56,1.61,57.59
Données consolidées,2024-06-06,03:30:00,5276.0,7.0,8463.0,52.0,0.0,3721.0,-1154.0,117.0,0.0,0.0,0.0,0.0,-5930.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.7,160.41,62.37,0.99,7.02,0.0,0.0,70.53,32.64,2.22,61.9
Données définitives,2022-03-04,21:30:00,8560.0,613.0,10850.0,247.0,0.0,3966.0,-3.0,130.0,0.0,0.0,0.0,0.0,-7243.0,,,,,,,,,,,,,,411.0,,239.0,,,,,104.0,5625.0,,747.0,,,,,,,,,,,1345.0,,,865.0,7.16,58.33,126.75,79.96,2.89,34.55,0.0,0.0,46.33,35.28,1.52,59.91
Données définitives,2023-03-13,16:00:00,7095.0,116.0,10334.0,474.0,592.0,2786.0,-14.0,106.0,0.0,0.0,0.0,0.0,-7300.0,,,,,,,,,,,,,,1634.0,,40.0,,,,,181.0,2555.0,,148.0,,,,,,,,,,,2945.0,,,1804.0,1.63,11.85,145.65,76.15,6.68,65.56,8.34,32.49,39.27,24.43,1.49,55.5
Données temps réel,2025-10-18,15:30:00,6166.0,22.0,7404.0,24.0,1688.0,878.0,-725.0,66.0,0,5,,,-3196.0,,659,,676,,,,,34,281,,396,,-1044,,0,,,,,-157,-335,,-7,,,,0,,,47,,,,-2633,,,-1071,0.36,2.24,120.08,54.56,0.39,3.28,27.38,49.5,14.24,7.67,1.07,34.92
Données temps réel,2025-02-08,14:30:00,8361.0,130.0,9700.0,68.0,398.0,3124.0,-812.0,59.0,0,0,,,-4308.0,,647,,724,,,,,59,416,,94,,-756,,0,,,,,-54,-2534,,-81,,,,0,,,222,,,,-2005,,,-345,1.55,12.99,116.01,71.48,0.81,9.18,4.76,17.82,37.36,27.4,0.71,31.22
Données définitives,2023-05-26,10:30:00,6964.0,11.0,7321.0,27.0,1136.0,3914.0,-369.0,105.0,0.0,0.0,0.0,0.0,-5182.0,,,,,,,,,,,,,,641.0,,0.0,,,,,11.0,2697.0,,153.0,,,,,,,,,,,2156.0,,,658.0,0.16,1.12,105.13,53.95,0.39,3.73,16.31,62.35,56.2,34.32,1.51,54.97
Données définitives,2023-04-21,00:30:00,6900.0,401.0,10100.0,44.0,0.0,2964.0,-157.0,101.0,0.0,0.0,0.0,0.0,-6553.0,,,,,,,,,,,,,,157.0,,20.0,,,,,162.0,5457.0,,288.0,,,,,,,,,,,2498.0,,,438.0,5.81,40.96,146.38,74.43,0.64,6.09,0.0,0.0,42.96,25.99,1.46,52.88
Données définitives,2021-08-28,19:30:00,5605.0,5.0,8596.0,320.0,86.0,2866.0,-13.0,108.0,0,0,0,0,-6364.0,,683,,661,,,,,121,92,,68,,560,,0,,,,,40,4593,,394,,,,0,,,26,,,,2005,,,422,0.09,0.46,153.36,63.35,5.71,46.65,1.53,6.51,51.13,24.29,1.93,57.45
Données temps réel,2025-01-25,00:00:00,8054.0,129.0,10777.0,495.0,0.0,2491.0,-330.0,37.0,-5,0,,,-5541.0,,2105,,1459,,,,,143,505,,237,,-370,,0,,,,,-48,-3579,,-408,,,,0,,,176,,,,-3390,,,-1495,1.6,12.89,133.81,79.42,6.15,66.8,0.0,0.0,30.93,21.85,0.46,19.58
Données définitives,2021-07-30,03:00:00,5303.0,9.0,9001.0,50.0,0.0,2782.0,-418.0,124.0,0,0,0,0,-6245.0,,1251,,805,,,,,145,79,,75,,366,,0,,,,,19,4553,,362,,,,0,,,11,,,,2635,,,675,0.17,0.83,169.73,66.33,0.94,7.55,0.0,0.0,52.46,23.6,2.34,66.31
Données temps réel,2025-04-16,10:30:00,7868.0,26.0,11358.0,41.0,479.0,3267.0,-494.0,61.0,-1,0,,,-6871.0,,52,,229,,,,,5,671,,340,,-1962,,0,,,,,-96,-1644,,-32,,,,0,,,211,,,,-3068,,,-1063,0.33,2.6,144.36,83.7,0.52,5.53,6.09,21.45,41.52,28.66,0.78,32.28
Données temps réel,2025-10-23,04:00:00,5244.0,22.0,7630.0,295.0,0.0,1952.0,-1281.0,66.0,0,0,,,-3442.0,,3081,,32,,,,,73,150,,267,,-413,,0,,,,,-40,-1233,,-20,,,,0,,,22,,,,-3785,,,-1240,0.42,2.24,145.5,56.23,5.63,40.3,0.0,0.0,37.22,17.05,1.26,34.92
Données définitives,2022-02-04,08:30:00,10482.0,637.0,12358.0,121.0,12.0,4120.0,-8.0,114.0,0.0,0.0,0.0,0.0,-6872.0,,,,,,,,,,,,,,478.0,,365.0,,,,,118.0,6573.0,,698.0,,,,,,,,,,,1521.0,,,536.0,6.08,59.92,117.9,91.07,1.15,17.66,0.11,0.8,39.31,35.98,1.09,59.69
Données définitives,2022-03-13,14:30:00,7573.0,111.0,8734.0,414.0,139.0,2034.0,-1539.0,132.0,0.0,0.0,0.0,0.0,-2452.0,,,,,,,,,,,,,,72.0,,23.0,,,,,13.0,4976.0,,901.0,,,,,,,,,,,303.0,,,555.0,1.47,10.56,115.33,64.36,5.47,57.9,1.84,8.83,26.86,18.09,1.74,60.83
Données définitives,2022-05-10,01:30:00,5656.0,53.0,6866.0,11.0,0.0,2621.0,-5.0,116.0,0.0,0.0,0.0,0.0,-4005.0,,,,,,,,,,,,,,290.0,,0.0,,,,,82.0,2786.0,,211.0,,,,,,,,,,,2321.0,,,392.0,0.94,5.04,121.39,50.6,0.19,1.54,0.0,0.0,46.34,23.31,2.05,53.46
Données définitives,2021-03-06,04:30:00,7197.0,253.0,9567.0,101.0,0.0,2591.0,-663.0,133.0,0,0,0,0,-4786.0,,791,,543,,,,,26,426,,118,,1089,,0,,,,,115,3086,,334,,,,0,,,81,,,,1047,,,1101,3.52,23.49,132.93,70.5,1.4,18.07,0.0,0.0,36.0,21.97,1.85,71.12
Données définitives,2022-12-16,17:30:00,9768.0,707.0,12096.0,156.0,0.0,6331.0,-13.0,111.0,0.0,0.0,0.0,0.0,-9620.0,,,,,,,,,,,,,,4212.0,,816.0,,,,,204.0,4902.0,,437.0,,,,,,,,,,,615.0,,,417.0,7.24,72.22,123.83,89.14,1.6,21.58,0.0,0.0,64.81,55.52,1.14,58.12
Données définitives,2021-11-12,04:00:00,7183.0,604.0,9382.0,137.0,0.0,1207.0,-1755.0,122.0,0,0,0,0,-2514.0,,2563,,743,,,,,182,113,,85,,131,,106,,,,,47,5120,,525,,,,268,,,297,,,,465,,,372,8.41,55.51,130.61,69.14,1.91,19.21,0.0,0.0,16.8,10.53,1.7,64.21
Données définitives,2023-02-15,02:00:00,8138.0,551.0,13256.0,225.0,0.0,1425.0,-504.0,122.0,0.0,0.0,0.0,0.0,-6938.0,,,,,,,,,,,,,,387.0,,28.0,,,,,48.0,4870.0,,761.0,,,,,,,,,,,2591.0,,,970.0,6.77,56.28,162.89,97.69,2.76,31.12,0.0,0.0,17.51,12.5,1.5,63.87
Données définitives,2021-07-23,00:00:00,6243.0,47.0,8394.0,40.0,0.0,4103.0,-12.0,123.0,0,0,0,0,-6453.0,,399,,383,,,,,179,108,,61,,328,,130,,,,,49,5252,,496,,,,0,,,563,,,,1777,,,115,0.75,4.36,134.45,61.86,0.64,6.04,0.0,0.0,65.72,34.81,1.97,65.78
Données définitives,2023-08-16,02:30:00,4775.0,7.0,7412.0,40.0,0.0,3058.0,-13.0,112.0,0.0,0.0,0.0,0.0,-5842.0,,,,,,,,,,,,,,577.0,,0.0,,,,,13.0,4654.0,,607.0,,,,,,,,,,,1170.0,,,374.0,0.15,0.72,155.23,54.62,0.84,5.53,0.0,0.0,64.04,26.82,2.35,58.64
Données définitives,2021-04-24,07:30:00,5848.0,12.0,7816.0,71.0,40.0,1508.0,-3.0,115.0,0,0,0,0,-3711.0,,1485,,1065,,,,,66,379,,140,,329,,0,,,,,11,2813,,342,,,,0,,,2,,,,2322,,,1030,0.21,1.11,133.65,57.6,1.21,12.7,0.68,3.36,25.79,12.79,1.97,61.5
Données définitives,2023-08-24,23:30:00,6621.0,10.0,7042.0,235.0,0.0,2681.0,-13.0,112.0,0.0,0.0,0.0,0.0,-3446.0,,,,,,,,,,,,,,137.0,,0.0,,,,,29.0,5751.0,,355.0,,,,,,,,,,,1291.0,,,112.0,0.15,1.02,106.36,51.89,3.55,32.5,0.0,0.0,40.49,23.51,1.69,58.64
Données temps réel,2025-04-07,22:30:00,6572.0,428.0,9785.0,150.0,0.0,3511.0,0.0,60.0,0,0,,,-7365.0,,1446,,446,,,,,172,288,,179,,-838,,-100,,,,,-140,-3404,,-40,,,,0,,,88,,,,-3228,,,-1418,6.51,42.76,148.89,72.11,2.28,20.24,0.0,0.0,53.42,30.8,0.91,31.75
Données définitives,2021-07-23,03:30:00,5459.0,9.0,8444.0,44.0,0.0,3409.0,-487.0,127.0,0,0,0,0,-6087.0,,744,,621,,,,,100,89,,60,,679,,0,,,,,9,3955,,384,,,,0,,,21,,,,2247,,,448,0.16,0.83,154.68,62.23,0.81,6.65,0.0,0.0,62.45,28.92,2.33,67.91
Données définitives,2021-10-16,11:30:00,7429.0,21.0,11497.0,47.0,667.0,1296.0,-710.0,95.0,0,0,0,0,-5484.0,,1013,,495,,,,,135,138,,106,,464,,41,,,,,85,4368,,360,,,,0,,,45,,,,1664,,,432,0.28,1.94,154.76,84.72,0.63,6.59,8.98,47.85,17.45,11.32,1.28,50.0
Données définitives,2021-07-25,16:30:00,5509.0,9.0,6689.0,53.0,572.0,2926.0,-1155.0,120.0,0,0,0,0,-3705.0,,1408,,853,,,,,48,204,,78,,325,,0,,,,,12,3100,,228,,,,0,,,11,,,,2003,,,637,0.16,0.83,121.42,49.29,0.96,8.01,10.38,44.38,53.11,24.83,2.18,64.17
Données définitives,2022-05-27,23:00:00,6166.0,12.0,6879.0,312.0,0.0,4415.0,-14.0,130.0,0.0,0.0,0.0,0.0,-5568.0,,,,,,,,,,,,,,454.0,,122.0,,,,,42.0,4480.0,,380.0,,,,,,,,,,,1639.0,,,107.0,0.19,1.14,111.56,50.69,5.06,43.64,0.0,0.0,71.6,39.27,2.11,59.91
Données consolidées,2024-03-20,08:00:00,7920.0,126.0,8520.0,174.0,231.0,5189.0,-12.0,117.0,0.0,0.0,0.0,0.0,-6425.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59,12.59,107.58,62.79,2.2,23.48,2.92,10.34,65.52,45.51,1.48,61.9
Données définitives,2023-01-30,13:00:00,10176.0,545.0,12872.0,183.0,671.0,4222.0,-13.0,100.0,0.0,0.0,0.0,0.0,-8402.0,,,,,,,,,,,,,,1442.0,,550.0,,,,,80.0,4628.0,,309.0,,,,,,,,,,,2531.0,,,540.0,5.36,55.67,126.49,94.86,1.8,25.31,6.59,36.83,41.49,37.03,0.98,52.36
Données temps réel,2025-06-27,09:00:00,7402.0,26.0,9862.0,186.0,969.0,3375.0,0.0,81.0,0,0,,,-7099.0,,3,,0,,,,,13,421,,205,,-1692,,0,,,,,-34,-2334,,-38,,,,0,,,430,,,,-2994,,,-385,0.35,2.64,133.23,72.68,2.51,25.41,13.09,29.36,45.6,29.48,1.09,40.3
Données définitives,2023-01-04,07:00:00,7564.0,173.0,10244.0,170.0,0.0,2359.0,-1169.0,101.0,0.0,0.0,0.0,0.0,-4315.0,,,,,,,,,,,,,,48.0,,64.0,,,,,75.0,6670.0,,806.0,,,,,,,,,,,1924.0,,,724.0,2.29,17.67,135.43,75.49,2.25,23.51,0.0,0.0,31.19,20.69,1.34,52.88
Données temps réel,2025-06-11,14:30:00,7358.0,28.0,8988.0,37.0,2265.0,2587.0,-321.0,80.0,0,0,,,-6307.0,,850,,516,,,,,18,292,,245,,-1144,,-1,,,,,-24,-2485,,-49,,,,0,,,0,,,,-3138,,,-647,0.38,2.8,122.15,66.23,0.5,4.99,30.78,101.43,35.16,22.69,1.09,42.33
Données consolidées,2024-07-03,17:30:00,6931.0,12.0,6940.0,243.0,960.0,3735.0,-13.0,118.0,0.0,0.0,0.0,0.0,-5064.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,1.2,100.13,51.14,3.51,32.79,13.85,42.99,53.89,32.76,1.7,62.43
Données temps réel,2025-07-03,06:30:00,6773.0,389.0,8878.0,97.0,75.0,3500.0,0.0,81.0,0,0,,,-6247.0,,1174,,79,,,,,209,330,,226,,-982,,0,,,,,-17,-2454,,-33,,,,0,,,260,,,,-3965,,,-342,5.74,39.49,131.08,65.42,1.43,13.25,1.11,2.27,51.68,30.57,1.2,40.3
Données consolidées,2024-08-13,15:30:00,6773.0,5.0,6741.0,124.0,1367.0,2760.0,-398.0,119.0,0.0,0.0,0.0,0.0,-3946.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.5,99.53,49.68,1.83,16.73,20.18,61.22,40.75,24.21,1.76,62.96
Données temps réel,2025-04-03,03:00:00,6755.0,26.0,8047.0,364.0,0.0,1351.0,-1520.0,61.0,0,0,,,-1574.0,,2657,,457,,,,,21,344,,364,,-233,,0,,,,,-14,-932,,-29,,,,0,,,42,,,,-2825,,,-1190,0.38,2.6,119.13,59.3,5.39,49.12,0.0,0.0,20.0,11.85,0.9,32.28
Données définitives,2022-02-16,02:00:00,8869.0,205.0,10695.0,207.0,0.0,2170.0,-579.0,134.0,0.0,0.0,0.0,0.0,-3963.0,,,,,,,,,,,,,,22.0,,0.0,,,,,69.0,5547.0,,847.0,,,,,,,,,,,2186.0,,,690.0,2.31,19.29,120.59,78.81,2.33,30.22,0.0,0.0,24.47,18.95,1.51,70.16
Données définitives,2023-01-13,06:30:00,7986.0,180.0,12173.0,324.0,0.0,2848.0,-314.0,116.0,0.0,0.0,0.0,0.0,-7341.0,,,,,,,,,,,,,,492.0,,0.0,,,,,107.0,5707.0,,662.0,,,,,,,,,,,3215.0,,,1726.0,2.25,18.39,152.43,89.71,4.06,44.81,0.0,0.0,35.66,24.98,1.45,60.73
Données temps réel,2025-02-22,22:00:00,6860.0,129.0,9836.0,47.0,0.0,4618.0,-2.0,60.0,0,0,,,-7828.0,,829,,700,,,,,97,362,,134,,-1281,,0,,,,,-36,-2685,,-59,,,,0,,,0,,,,-3888,,,-1289,1.88,12.89,143.38,72.48,0.69,6.34,0.0,0.0,67.32,40.51,0.87,31.75
Données définitives,2021-02-25,11:30:00,8150.0,203.0,9244.0,242.0,610.0,3008.0,-7.0,113.0,0,0,0,0,-5264.0,,703,,392,,,,,40,358,,135,,1014,,7,,,,,156,3948,,232,,,,0,,,7,,,,739,,,803,2.49,18.85,113.42,68.12,2.97,43.29,7.48,51.26,36.91,25.5,1.39,60.43
Données temps réel,2025-05-17,20:00:00,5598.0,27.0,10660.0,58.0,224.0,3164.0,0.0,61.0,0,0,,,-8597.0,,3,,86,,,,,10,466,,474,,-3576,,-202,,,,,-86,-1569,,-25,,,,0,,,252,,,,-3260,,,-745,0.48,2.7,190.43,78.56,1.04,7.83,4.0,10.03,56.52,27.75,1.09,32.28
Données temps réel,2025-03-24,07:30:00,7320.0,522.0,10749.0,74.0,156.0,5605.0,0.0,45.0,0,0,,,-9833.0,,63,,126,,,,,16,540,,67,,-2586,,-225,,,,,-142,-2636,,-88,,,,0,,,0,,,,-3374,,,-780,7.13,52.15,146.84,79.21,1.01,9.99,2.13,6.99,76.57,49.16,0.61,23.81
Données définitives,2021-10-05,12:30:00,7510.0,14.0,9849.0,268.0,371.0,3363.0,-4.0,99.0,0,0,0,0,-6450.0,,1529,,753,,,,,133,412,,137,,1325,,1,,,,,118,3661,,236,,,,0,,,3,,,,2581,,,1496,0.19,1.29,131.15,72.58,3.57,37.59,4.94,26.61,44.78,29.37,1.32,52.11
Données temps réel,2025-02-09,07:00:00,7593.0,132.0,9750.0,48.0,0.0,3425.0,-81.0,58.0,0,0,,,-5741.0,,826,,727,,,,,101,277,,138,,-839,,-39,,,,,-16,-3036,,-85,,,,0,,,111,,,,-2489,,,-633,1.74,13.19,128.41,71.85,0.63,6.48,0.0,0.0,45.11,30.04,0.76,30.69
Données temps réel,2025-02-18,09:30:00,9881.0,539.0,10656.0,47.0,683.0,5409.0,-1.0,60.0,0,0,,,-7513.0,,617,,267,,,,,60,495,,323,,-1415,,-14,,,,,-125,-2613,,-43,,,,0,,,271,,,,-3732,,,-932,5.45,53.85,107.84,78.53,0.48,6.34,6.91,30.59,54.74,47.44,0.61,31.75
Données temps réel,2025-10-14,14:00:00,7184.0,23.0,7483.0,30.0,1382.0,1198.0,-235.0,66.0,0,0,,,-2763.0,,1116,,776,,,,,15,242,,428,,-676,,0,,,,,-109,-1024,,-9,,,,0,,,171,,,,-2566,,,-876,0.32,2.34,104.16,55.14,0.42,4.1,19.24,40.53,16.68,10.46,0.92,34.92
Données temps réel,2025-03-28,17:00:00,6696.0,116.0,9024.0,351.0,681.0,1623.0,-327.0,59.0,0,0,,,-4832.0,,1384,,675,,,,,21,645,,381,,-1653,,0,,,,,-116,-1309,,-20,,,,0,,,22,,,,-3048,,,-1432,1.73,11.59,134.77,66.5,5.24,47.37,10.17,30.5,24.24,14.24,0.88,31.22
Données définitives,2022-10-21,18:30:00,6737.0,300.0,6291.0,251.0,9.0,2569.0,-13.0,112.0,0.0,0.0,0.0,0.0,-2782.0,,,,,,,,,,,,,,357.0,,0.0,,,,,26.0,1937.0,,137.0,,,,,,,,,,,2091.0,,,560.0,4.45,28.12,93.38,46.36,3.73,36.64,0.13,0.57,38.13,22.41,1.66,58.95
